公告縣市,地區,溪流名稱,封溪範圍,封溪時間,公告字號
臺中市,新社區,抽藤坑溪,新社區抽藤坑溪主支流自溪頭至中和橋止。,112/2/8起,府授農海行字第11200239881號
臺中市,新社區,食水嵙溪,新社區食水嵙溪自馬力埔湳崛起至八寶圳交會處止主、支流河段(山水橋上游雙翠水壩350公尺除外)長約7公里及白冷圳主流河段，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第10600257195號
臺中市,東勢區,軟埤坑溪,東勢區東關路永安橋起至軟埤坑溪主、支流河段長約8公里，禁止以任何方式採捕水產動物。,106/6/1起,府授農海行字第10600257194號
臺中市,東勢區,中嵙溪,自中科國小旁仁安橋起至牛欄坑橋止之主支流河段約5公里，禁止以任何方式採捕水產動物。,109/4/16-113/12/15,府授農海行字第10900840211號
臺中市,外埔區、大甲區、大安區,塭寮溪,自外埔第二排水與外埔第三排水匯流處起至出海，禁止以任何方式採捕鰻魚,102/5/21起,府授農海行字第10200840051號
彰化縣,,舊濁水溪,舊濁水溪自二溪路溪湖橋起至出海口禁止採捕8公分以上鰻魚,103/03/11起,府農漁字第1120529682A號
彰化縣,,南郭坑溪,南郭坑溪自南校街(北緯24度04分19.27秒、東經120度32分51.1秒)起至公園路(北緯24度04分29.7秒、東經120度33分9.66秒)止,113/01/08起,府農漁字第1030069860A號
南投縣,埔里鎮,種瓜坑溪,埔里鎮成功里種瓜坑溪上游自種瓜坑溪水源頭（23°55’34.55”N，120°53’08.71”E）及其支流至桃米里交界（23°57’03.75”N，120°54’07.33”E），至下游國姓鄉交界（23°57’49.34”N，120°53’18.02”E），嚴禁以任何方式採捕水產動物,112/1/1-114/12/31,府農疫字第11102902881號
南投縣,埔里鎮,種瓜坑溪,自上游水源頭（23°55’34.55”N，120°53’08.71”E）及其支流至桃米里交界（23°57’03.75”N，120°54’07.33”E），至下游國姓鄉交界（23°57’49.34”N，120°53’18.03”E），嚴禁於禁漁範圍內使用任何方式採捕水產動物、植物,115/1/1-117/10/31,府農疫字第11400958371號
雲林縣,,舊虎尾溪,舊虎尾溪全水域禁止使用任何方式採捕鰻魚,102/6/3起,府農漁字第1025511275號
嘉義縣,阿里山鄉,曾文溪支流烏奇哈溪,"(23˚53'27.7""N，120˚55'20.1""E）至下游淑澄橋（23˚53'45.3""N，120˚55'03.9""E）。",89/3/7日起每年1-7月及11-12月,89府農漁字第26978號
嘉義縣,阿里山鄉,豐山村石鼓盤溪、來吉村阿里山溪、樂野村米洋溪,,1.豐山村區及來吉村區內:每年1~6月及9~12月            。2.樂野村:全年,90府農漁字第81286號
嘉義縣,阿里山鄉,新美村達古布亞努溪(普亞女溪),1.新美橋以下之溪流全年禁漁。。2.新美橋以上至瑪拉阿基農路處(步道尾端)之溪流，除8、9、10月份之週休二日開放外，全年禁漁。。3.瑪拉阿基農路以上之溪流全年禁漁。 。嚴禁以任何方式採捕水產動植物,1.新美橋以下:全年                。2.新美橋以上至瑪拉阿基農路處(步道尾端)之溪流:每年1-6月，8~10月星期一至星期五，11~12月新美橋以下           。 3.瑪拉阿基農路以上之溪流:全年,92年8月14日府農漁字第0920097252號
嘉義縣,阿里山鄉,達邦村曾文溪、達德安溪,1.曾文溪行幼橋以上流域為全年禁漁區。。2.達德安溪全部流域為全年禁漁區。。嚴禁以任何方式採捕水產動植物,92/6/5起,92年6月5日府農漁字第0920072991號
嘉義縣,阿里山鄉,里佳村曾文溪支流烏奇哈溪,里佳村曾文溪支流烏奇哈溪亞那柵那吊橋以上流域，嚴禁以任何方式採捕水產動物(含垂釣、捕撈、徒手捕捉等),109/8/3起,109年8月3日府農漁字第10901624551號
嘉義縣,阿里山鄉,山美村曾文溪上游、達娜伊谷溪流域,"山美村曾文溪與達娜伊谷溪出口處(23°23'54""N﹐120°40'52""E)曾文溪往上五百公尺（23°24'10""N﹐120°40'50""E），往下八百公尺（23°22'36""N﹐120°40'27""E及23°24'12""N﹐120°44'36""E）。，嚴禁以任何方式採捕水產動物(含垂釣、捕撈、徒手捕捉等)",110/6/24起,110年6月24日府農漁字第11001387491號
嘉義縣,竹崎鄉,仁壽村生毛樹(圓潭)溪,竹崎鄉仁壽村生毛樹(圓潭)溪自雲潭瀑布(不含)以上河段為全年禁漁區 ，嚴禁以任何方式採捕水產動植物,93/1/13起,93年1月13日府農漁字第0930011088號
嘉義縣,竹崎鄉,八掌源游(放魚坑洞段)及朴子溪上游支流清水溪河段,八掌溪源游(自奮起湖至光華村頂笨仔約4公里)與自清水溪昇岩橋上游1，000公尺處至舊社二號橋處共約6公里之河段，嚴禁以任何方式採捕水產動植物(含垂釣、撈蝦、徒手捕捉等),94/5/3起,94年5月2日府農育字第0940060572號
嘉義縣,梅山鄉,太興村生毛樹(科子林)溪,梅山鄉太興村生毛樹(科子林)溪自粗紙坑溪匯合口至雙溪瀑布間河段為全年禁漁區，嚴禁以任何方式採捕水產動植物,92/7/17起,92年7月17日府農漁字第0920090079號
